Old Index,Gene,Entrez ID,Image Series URL,Used in analysis?,ID
43,2210010L05Rik,98682,2210010L05Rik/75651167.html,1,75651167
44,2210403B10Rik,75668,2210403B10Rik/73636038.html,1,73636038
45,2210407G14Rik,545156,2210407G14Rik/73930821.html,1,73930821
46,2310001H12Rik,69504,2310001H12Rik/75774665.html,1,75774665
47,2310004L02Rik,66349,2310004L02Rik/75773705.html,1,75773705
48,2310005P05Rik,67484,2310005P05Rik/70805895.html,1,70805895
49,2310008M10Rik,66357,2310008M10Rik/1649.html,1,1649
50,2310010M24Rik,71897,2310010M24Rik/73635774.html,1,73635774
51,2310015N21Rik,76438,2310015N21Rik/71920515.html,1,71920515
52,2310028N02Rik,66950,2310028N02Rik/75774106.html,1,75774106
53,2310036D04Rik,216134,2310036D04Rik/73512188.html,1,73512188
54,2310042E22Rik,66561,2310042E22Rik/74357582.html,1,74357582
55,2310045A20Rik,231238,2310045A20Rik/74988657.html,1,74988657
56,2310046A06Rik,69642,2310046A06Rik/73931408.html,1,73931408
57,2310079N02Rik,66566,2310079N02Rik/75773704.html,1,75773704
58,2410005O16Rik,66302,2410005O16Rik/75773702.html,1,75773702
59,2410018C20Rik,67873,2410018C20Rik/75773703.html,1,75773703
60,2410066E13Rik,68235,2410066E13Rik/71587888.html,1,71587888
61,2600005N12Rik,70317,2600005N12Rik/73817933.html,1,73817933
62,2610002F03Rik,72091,2610002F03Rik/1968.html,1,1968
63,2610018G03Rik,70415,2610018G03Rik/74047829.html,1,74047829
64,2610019A05Rik,72149,2610019A05Rik/74819330.html,1,74819330
65,2610019F03Rik,72148,2610019F03Rik/74724511.html,1,74724511
66,2610028E06Rik,72395,2610028E06Rik/71020430.html,1,71020430
67,2610039E05Rik,78779,2610039E05Rik/73817441.html,1,73817441
68,2610109H07Rik,70433,2610109H07Rik/74272038.html,1,74272038
69,2610110G12Rik,73242,2610110G12Rik/74425517.html,1,74425517
70,2610206B13Rik,72486,2610206B13Rik/276273.html,1,276273
71,2700038N03Rik,70240,2700038N03Rik/72007932.html,1,72007932
72,2700045P11Rik,72555,2700045P11Rik/74363334.html,1,74363334
73,2700055K07Rik,67971,2700055K07Rik/70813926.html,1,70813926
74,2810004A10Rik,171463,2810004A10Rik/74958537.html,1,74958537
75,2810005G07Rik*,0,2810005G07Rik*/77340482.html,1,77340482
76,2810401C16Rik,72168,2810401C16Rik/74724774.html,1,74724774
77,2810405K02Rik,66469,2810405K02Rik/74047901.html,1,74047901
