Gene,Entrez ID,Image Series URL,Used in analysis?,ID
Ache,11423,Ache/70301082.html,1,70301082
Acot7,70025,Acot7/145.html,1,145
Acpl2,235534,Acpl2/293473.html,1,293473
Acsbg1,94180,Acsbg1/369.html,1,369
Acsl3,74205,Acsl3/75042266.html,1,75042266
Acsl5,433256,Acsl5/73931635.html,1,73931635
Acsl6,216739,Acsl6/71836810.html,1,71836810
Acta1,11459,Acta1/60.html,1,60
Actc1,11464,Actc1/62.html,1,62
Actr1a,54130,Actr1a/321206.html,1,321206
Actr2,66713,Actr2/67.html,1,67
Acvr1c,269275,Acvr1c/71250307.html,1,71250307
Acvrl1,11482,Acvrl1/79488929.html,1,79488929
Acyp1,66204,Acyp1/74988760.html,1,74988760
Acyp2,75572,Acyp2/73930820.html,1,73930820
Adam33,110751,Adam33/75147767.html,1,75147767
Adamts16,271127,Adamts16/276267.html,1,276267
Adamts17,233332,Adamts17/71924431.html,1,71924431
Adamts18,208936,Adamts18/75651128.html,1,75651128
Adamts19,240322,Adamts19/73635973.html,1,73635973
Adamts2,216725,Adamts2/71924385.html,1,71924385
Adamts4,240913,Adamts4/71836845.html,1,71836845
Adamts8,30806,Adamts8/73925719.html,1,73925719
Adamtsl2,77794,Adamtsl2/74881352.html,1,74881352
Adamtsl3,269959,Adamtsl3/73925720.html,1,73925720
Adamtsl5,66548,Adamtsl5/71063847.html,1,71063847
Adarb1,110532,Adarb1/73636040.html,1,73636040
Adarb2,94191,Adarb2/73925721.html,1,73925721
Adcy2,210044,Adcy2/79567501.html,1,79567501
Adcy3,104111,Adcy3/75.html,1,75
Adcy4,104110,Adcy4/73512495.html,1,73512495
Adcy5,224129,Adcy5/79.html,1,79
Adcy6,11512,Adcy6/81.html,1,81
Adcy8,11514,Adcy8/77280540.html,1,77280540
Adcy9,11515,Adcy9/83.html,1,83
Adcyap1,11516,Adcyap1/74511882.html,1,74511882
Adcyap1r1,11517,Adcyap1r1/74988667.html,1,74988667
Adipor1,72674,Adipor1/61210.html,1,61210
Adora2a,11540,Adora2a/72109410.html,1,72109410
Adra1a,11549,Adra1a/75042247.html,1,75042247
Adra1d,11550,Adra1d/72119628.html,1,72119628
Adrb1,11554,Adrb1/77340494.html,1,77340494
Adrbk2,320129,Adrbk2/74724787.html,1,74724787
Adrm1,56436,Adrm1/2019.html,1,2019
Adssl1,11565,Adssl1/72104185.html,1,72104185
AF529169,209743,AF529169/73636152.html,1,73636152
Aff4,93736,Aff4/2363.html,1,2363
Agpat3,28169,Agpat3/85.html,1,85
Agpat4,68262,Agpat4/73718048.html,1,73718048
Agps,228061,Agps/74819325.html,1,74819325
Agrin,11603,Agrin/73925722.html,1,73925722
Agt,11606,Agt/87.html,1,87
Agtr1a,11607,Agtr1a/2021.html,1,2021
Agtrl1,23796,Agtrl1/1661.html,1,1661
Agxt2l1,71760,Agxt2l1/75079777.html,1,75079777
AI427515,270097,AI427515/75650860.html,1,75650860
AI450948,382643,AI450948/71250311.html,1,71250311
AI593442,330941,AI593442/71250312.html,1,71250312
AI606473,99686,AI606473/1468.html,1,1468
AI836003,239650,AI836003/71250313.html,1,71250313
AI839735,104885,AI839735/76097701.html,1,76097701
AI841794,211187,AI841794/74819475.html,1,74819475
AI851790,268354,AI851790/73636033.html,1,73636033
AI852640,668212,AI852640/74958645.html,1,74958645
AI987712,19116,AI987712/72340223.html,1,72340223
Aipl1,114230,Aipl1/67855411.html,1,67855411
Ajap1,230959,Ajap1/71717560.html,1,71717560
Ak1,11636,Ak1/83164.html,1,83164
Ak3l1,11639,Ak3l1/74641312.html,1,74641312
Akap12,83397,Akap12/72128778.html,1,72128778
Akap2,11641,Akap2/1448.html,1,1448
Akap8,56399,Akap8/91.html,1,91
Akr1b3,11677,Akr1b3/70813922.html,1,70813922
Akr1c18,105349,Akr1c18/74425542.html,1,74425542
Akr1e1,56043,Akr1e1/356093.html,1,356093
AL033314,56463,AL033314/355881.html,1,355881
Alcam,11658,Alcam/70928271.html,1,70928271
Aldh1a1,11668,Aldh1a1/72103809.html,1,72103809
Aldh1l1,107747,Aldh1l1/1724.html,1,1724
Aldh5a1,214579,Aldh5a1/77925007.html,1,77925007
Aldob,230163,Aldob/79588294.html,1,79588294
Aldoc,11676,Aldoc/73512352.html,1,73512352
Alg5,66248,Alg5/75774105.html,1,75774105
Alkbh6,233065,Alkbh6/323594.html,1,323594
Allc,94041,Allc/74581421.html,1,74581421
Amigo2,105827,Amigo2/71250310.html,1,71250310
Amot,27494,Amot/74425553.html,1,74425553
Amotl1,75723,Amotl1/75038463.html,1,75038463
Amph,218038,Amph/72340233.html,1,72340233
Ank,11732,Ank/75934916.html,1,75934916
Ank1,11733,Ank1/70560276.html,1,70560276
Ank2,109676,Ank2/71924087.html,1,71924087
Ank3,11735,Ank3/74047925.html,1,74047925
Ankfn1,382543,Ankfn1/74047714.html,1,74047714
Ankrd33,208258,Ankrd33/2006.html,1,2006
Ankrd38,242553,Ankrd38/76085741.html,1,76085741
Ankrd43,237761,Ankrd43/71250306.html,1,71250306
Ankrd50,99696,Ankrd50/71670721.html,1,71670721
Ankrd54,223690,Ankrd54/1677.html,1,1677
